"ParkName","Date","CountRaw","CountAdjusted","Species","Classification","Size","DisruptiveActivities"
"Alvin G. Beaman Park",2021-07-20,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-21,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-22,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-23,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-25,3,0.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-26,4,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-27,3,0.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-28,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-29,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-30,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-31,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-01,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-02,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-03,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-04,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-05,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-06,10,2.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-07,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-08,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-09,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-10,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-11,3,0.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-12,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-13,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-14,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-15,7,1.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-16,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-17,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-18,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-19,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-20,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-21,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-22,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-23,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-24,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-25,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-26,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-27,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-28,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-29,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-30,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-08-31,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-01,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-02,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-03,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-04,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-05,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-06,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-07,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-08,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-09,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-10,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-11,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-12,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-13,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-14,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-15,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-16,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-17,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-18,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-19,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-20,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-21,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-22,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-23,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-25,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-26,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-27,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-28,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-29,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-09-30,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-01,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-02,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-03,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-04,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-05,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-06,0,0,"White-tailed Deer","Regional",">1000ac","No"
