"Date","CountRaw","CountAdjusted","Species","ParkName"
2021-07-20,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-21,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-22,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-23,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-24,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-25,3,0.75,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-26,4,1,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-27,3,0.75,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-28,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-29,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-30,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-07-31,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-01,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-02,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-03,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-04,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-05,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-06,10,2.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-07,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-08,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-09,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-10,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-11,3,0.75,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-12,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-13,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-14,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-15,7,1.75,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-16,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-17,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-18,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-19,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-20,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-21,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-22,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-23,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-24,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-25,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-26,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-27,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-28,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-29,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-30,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-08-31,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-01,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-02,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-03,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-04,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-05,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-06,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-07,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-08,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-09,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-10,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-11,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-12,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-13,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-14,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-15,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-16,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-17,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-18,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-19,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-20,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-21,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-22,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-23,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-24,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-25,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-26,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-27,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-28,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-29,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-09-30,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-01,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-02,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-03,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-04,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-05,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-06,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-07,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-08,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-09,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-10,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-11,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-12,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-13,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-14,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-15,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-16,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-17,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-18,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-19,4,1,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-20,4,1,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-21,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-22,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-23,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-24,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-25,2,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-26,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-27,1,0.25,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-28,3,1,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-29,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-30,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-10-31,5,1.66666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-01,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-02,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-03,7,2.33333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-04,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-05,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-06,4,1.33333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-07,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-08,8,2.66666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-09,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-10,5,1.66666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-11,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-12,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-13,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-14,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-15,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-16,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-17,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-18,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-19,6,2,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-20,3,1,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-21,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-22,4,1.33333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-23,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-24,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-25,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-26,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-27,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-28,4,1.33333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-29,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-11-30,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-01,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-02,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-03,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-04,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-05,3,1,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-06,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-07,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-08,5,1.66666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-09,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-10,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-11,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-12,3,1,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-13,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-14,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-15,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-16,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-17,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-18,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-19,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-20,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-21,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-22,5,1.66666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-23,2,0.666666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-24,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-25,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-26,8,2.66666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-27,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-28,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-29,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-30,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2021-12-31,1,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-01,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-02,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-03,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-04,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-05,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-06,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-07,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-08,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-09,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-10,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-11,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-12,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-13,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-14,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-15,2,1,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-16,1,0.5,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-17,9,3,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-18,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-19,5,1.66666666666667,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-20,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-21,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-22,6,2,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-23,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-24,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-25,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-26,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-27,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-28,1,0.333333333333333,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-29,0,0,"White-tailed Deer","Alvin G. Beaman Park"
2022-01-30,0,0,"White-tailed Deer","Alvin G. Beaman Park"
