"Month","Species","CountAdjusted","ParkName"
2021-07-01,"White-tailed Deer",4.25,"Alvin G. Beaman Park"
2021-08-01,"White-tailed Deer",8.25,"Alvin G. Beaman Park"
2021-09-01,"White-tailed Deer",2.41666666666667,"Alvin G. Beaman Park"
2021-10-01,"White-tailed Deer",11.5,"Alvin G. Beaman Park"
2021-11-01,"White-tailed Deer",22.3333333333333,"Alvin G. Beaman Park"
2021-12-01,"White-tailed Deer",13.8333333333333,"Alvin G. Beaman Park"
2022-01-01,"White-tailed Deer",8.83333333333333,"Alvin G. Beaman Park"
2022-02-01,"White-tailed Deer",1,"Alvin G. Beaman Park"
2022-03-01,"White-tailed Deer",2,"Alvin G. Beaman Park"
2022-04-01,"White-tailed Deer",29.5833333333333,"Alvin G. Beaman Park"
2021-07-01,"Eastern Gray Squirrel",0.75,"Alvin G. Beaman Park"
2021-08-01,"Eastern Gray Squirrel",1.25,"Alvin G. Beaman Park"
2021-09-01,"Eastern Gray Squirrel",5.16666666666667,"Alvin G. Beaman Park"
2021-10-01,"Eastern Gray Squirrel",6.41666666666667,"Alvin G. Beaman Park"
2021-11-01,"Eastern Gray Squirrel",11,"Alvin G. Beaman Park"
2021-12-01,"Eastern Gray Squirrel",10,"Alvin G. Beaman Park"
2022-01-01,"Eastern Gray Squirrel",9.66666666666667,"Alvin G. Beaman Park"
2022-02-01,"Eastern Gray Squirrel",6.5,"Alvin G. Beaman Park"
2022-03-01,"Eastern Gray Squirrel",4.25,"Alvin G. Beaman Park"
2022-04-01,"Eastern Gray Squirrel",4.75,"Alvin G. Beaman Park"
2021-07-01,"Virginia Opossum",1.75,"Alvin G. Beaman Park"
2021-08-01,"Virginia Opossum",1.25,"Alvin G. Beaman Park"
2021-09-01,"Virginia Opossum",3.5,"Alvin G. Beaman Park"
2021-10-01,"Virginia Opossum",2.58333333333333,"Alvin G. Beaman Park"
2021-11-01,"Virginia Opossum",4.33333333333333,"Alvin G. Beaman Park"
2021-12-01,"Virginia Opossum",6,"Alvin G. Beaman Park"
2022-01-01,"Virginia Opossum",2.33333333333333,"Alvin G. Beaman Park"
2022-02-01,"Virginia Opossum",1,"Alvin G. Beaman Park"
2022-03-01,"Virginia Opossum",1,"Alvin G. Beaman Park"
2022-04-01,"Virginia Opossum",0,"Alvin G. Beaman Park"
2021-07-01,"Northern Raccoon",7.5,"Alvin G. Beaman Park"
2021-08-01,"Northern Raccoon",13.25,"Alvin G. Beaman Park"
2021-09-01,"Northern Raccoon",11,"Alvin G. Beaman Park"
2021-10-01,"Northern Raccoon",5.25,"Alvin G. Beaman Park"
2021-11-01,"Northern Raccoon",1.33333333333333,"Alvin G. Beaman Park"
2021-12-01,"Northern Raccoon",0.666666666666667,"Alvin G. Beaman Park"
2022-01-01,"Northern Raccoon",1.66666666666667,"Alvin G. Beaman Park"
2022-02-01,"Northern Raccoon",1.75,"Alvin G. Beaman Park"
2022-03-01,"Northern Raccoon",2,"Alvin G. Beaman Park"
2022-04-01,"Northern Raccoon",0.583333333333333,"Alvin G. Beaman Park"
2021-07-01,"Eastern Chipmunk",0.25,"Alvin G. Beaman Park"
2021-08-01,"Eastern Chipmunk",0.75,"Alvin G. Beaman Park"
2021-09-01,"Eastern Chipmunk",1,"Alvin G. Beaman Park"
2021-10-01,"Eastern Chipmunk",0.25,"Alvin G. Beaman Park"
2021-11-01,"Eastern Chipmunk",0.666666666666667,"Alvin G. Beaman Park"
2021-12-01,"Eastern Chipmunk",0,"Alvin G. Beaman Park"
2022-01-01,"Eastern Chipmunk",0,"Alvin G. Beaman Park"
2022-02-01,"Eastern Chipmunk",0,"Alvin G. Beaman Park"
2022-03-01,"Eastern Chipmunk",0.25,"Alvin G. Beaman Park"
2022-04-01,"Eastern Chipmunk",0,"Alvin G. Beaman Park"
2021-07-01,"Coyote",0,"Alvin G. Beaman Park"
2021-08-01,"Coyote",2,"Alvin G. Beaman Park"
2021-09-01,"Coyote",1.75,"Alvin G. Beaman Park"
2021-10-01,"Coyote",0.5,"Alvin G. Beaman Park"
2021-11-01,"Coyote",0.666666666666667,"Alvin G. Beaman Park"
2021-12-01,"Coyote",0.666666666666667,"Alvin G. Beaman Park"
2022-01-01,"Coyote",2.83333333333333,"Alvin G. Beaman Park"
2022-02-01,"Coyote",0.5,"Alvin G. Beaman Park"
2022-03-01,"Coyote",0,"Alvin G. Beaman Park"
2022-04-01,"Coyote",1,"Alvin G. Beaman Park"
2021-07-01,"Bobcat",0,"Alvin G. Beaman Park"
2021-08-01,"Bobcat",0.25,"Alvin G. Beaman Park"
2021-09-01,"Bobcat",0.5,"Alvin G. Beaman Park"
2021-10-01,"Bobcat",0.5,"Alvin G. Beaman Park"
2021-11-01,"Bobcat",0,"Alvin G. Beaman Park"
2021-12-01,"Bobcat",0,"Alvin G. Beaman Park"
2022-01-01,"Bobcat",0.333333333333333,"Alvin G. Beaman Park"
2022-02-01,"Bobcat",0,"Alvin G. Beaman Park"
2022-03-01,"Bobcat",0,"Alvin G. Beaman Park"
2022-04-01,"Bobcat",0.5,"Alvin G. Beaman Park"
2021-07-01,"Woodchuck",0,"Alvin G. Beaman Park"
2021-08-01,"Woodchuck",0,"Alvin G. Beaman Park"
2021-09-01,"Woodchuck",0,"Alvin G. Beaman Park"
2021-10-01,"Woodchuck",0,"Alvin G. Beaman Park"
2021-11-01,"Woodchuck",0,"Alvin G. Beaman Park"
2021-12-01,"Woodchuck",0,"Alvin G. Beaman Park"
2022-01-01,"Woodchuck",0,"Alvin G. Beaman Park"
2022-02-01,"Woodchuck",0,"Alvin G. Beaman Park"
2022-03-01,"Woodchuck",0,"Alvin G. Beaman Park"
2022-04-01,"Woodchuck",0,"Alvin G. Beaman Park"
2021-07-01,"Nine-banded Armadillo",0.5,"Alvin G. Beaman Park"
2021-08-01,"Nine-banded Armadillo",2,"Alvin G. Beaman Park"
2021-09-01,"Nine-banded Armadillo",0.25,"Alvin G. Beaman Park"
2021-10-01,"Nine-banded Armadillo",0.25,"Alvin G. Beaman Park"
2021-11-01,"Nine-banded Armadillo",0,"Alvin G. Beaman Park"
2021-12-01,"Nine-banded Armadillo",0,"Alvin G. Beaman Park"
2022-01-01,"Nine-banded Armadillo",0,"Alvin G. Beaman Park"
2022-02-01,"Nine-banded Armadillo",0,"Alvin G. Beaman Park"
2022-03-01,"Nine-banded Armadillo",0,"Alvin G. Beaman Park"
2022-04-01,"Nine-banded Armadillo",0,"Alvin G. Beaman Park"
2021-07-01,"Eastern Cottontail",0,"Alvin G. Beaman Park"
2021-08-01,"Eastern Cottontail",0.5,"Alvin G. Beaman Park"
2021-09-01,"Eastern Cottontail",1.25,"Alvin G. Beaman Park"
2021-10-01,"Eastern Cottontail",0.75,"Alvin G. Beaman Park"
2021-11-01,"Eastern Cottontail",0,"Alvin G. Beaman Park"
2021-12-01,"Eastern Cottontail",0,"Alvin G. Beaman Park"
2022-01-01,"Eastern Cottontail",0,"Alvin G. Beaman Park"
2022-02-01,"Eastern Cottontail",0.25,"Alvin G. Beaman Park"
2022-03-01,"Eastern Cottontail",0,"Alvin G. Beaman Park"
2022-04-01,"Eastern Cottontail",0,"Alvin G. Beaman Park"
2021-07-01,"Red Fox",0,"Alvin G. Beaman Park"
2021-08-01,"Red Fox",0,"Alvin G. Beaman Park"
2021-09-01,"Red Fox",0,"Alvin G. Beaman Park"
2021-10-01,"Red Fox",0,"Alvin G. Beaman Park"
2021-11-01,"Red Fox",1,"Alvin G. Beaman Park"
2021-12-01,"Red Fox",0.333333333333333,"Alvin G. Beaman Park"
2022-01-01,"Red Fox",0.5,"Alvin G. Beaman Park"
2022-02-01,"Red Fox",0,"Alvin G. Beaman Park"
2022-03-01,"Red Fox",0.25,"Alvin G. Beaman Park"
2022-04-01,"Red Fox",0,"Alvin G. Beaman Park"
2021-07-01,"North American River Otter",0,"Alvin G. Beaman Park"
2021-08-01,"North American River Otter",0.25,"Alvin G. Beaman Park"
2021-09-01,"North American River Otter",0.25,"Alvin G. Beaman Park"
2021-10-01,"North American River Otter",1.25,"Alvin G. Beaman Park"
2021-11-01,"North American River Otter",0,"Alvin G. Beaman Park"
2021-12-01,"North American River Otter",0,"Alvin G. Beaman Park"
2022-01-01,"North American River Otter",0,"Alvin G. Beaman Park"
2022-02-01,"North American River Otter",0.25,"Alvin G. Beaman Park"
2022-03-01,"North American River Otter",0,"Alvin G. Beaman Park"
2022-04-01,"North American River Otter",0,"Alvin G. Beaman Park"
2021-07-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2021-08-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2021-09-01,"Striped Skunk",0.25,"Alvin G. Beaman Park"
2021-10-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2021-11-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2021-12-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2022-01-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2022-02-01,"Striped Skunk",0.25,"Alvin G. Beaman Park"
2022-03-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2022-04-01,"Striped Skunk",0,"Alvin G. Beaman Park"
2021-07-01,"Weasel Family",0,"Alvin G. Beaman Park"
2021-08-01,"Weasel Family",0,"Alvin G. Beaman Park"
2021-09-01,"Weasel Family",0,"Alvin G. Beaman Park"
2021-10-01,"Weasel Family",0,"Alvin G. Beaman Park"
2021-11-01,"Weasel Family",2.33333333333333,"Alvin G. Beaman Park"
2021-12-01,"Weasel Family",0,"Alvin G. Beaman Park"
2022-01-01,"Weasel Family",2.83333333333333,"Alvin G. Beaman Park"
2022-02-01,"Weasel Family",0,"Alvin G. Beaman Park"
2022-03-01,"Weasel Family",0.5,"Alvin G. Beaman Park"
2022-04-01,"Weasel Family",0.25,"Alvin G. Beaman Park"
