"Month","Species","CountAdjusted","ParkName"
2021-07-01,"Nine-banded Armadillo",17.65,"Bells Bend Park"
2021-08-01,"Nine-banded Armadillo",35,"Bells Bend Park"
2021-09-01,"Nine-banded Armadillo",16.9166666666667,"Bells Bend Park"
2021-10-01,"Nine-banded Armadillo",3.66666666666667,"Bells Bend Park"
2021-11-01,"Nine-banded Armadillo",3,"Bells Bend Park"
2021-12-01,"Nine-banded Armadillo",2.16666666666667,"Bells Bend Park"
2022-01-01,"Nine-banded Armadillo",0,"Bells Bend Park"
2022-02-01,"Nine-banded Armadillo",0,"Bells Bend Park"
2022-03-01,"Nine-banded Armadillo",0,"Bells Bend Park"
2022-04-01,"Nine-banded Armadillo",2.66666666666667,"Bells Bend Park"
2021-07-01,"White-tailed Deer",6.05,"Bells Bend Park"
2021-08-01,"White-tailed Deer",26.5,"Bells Bend Park"
2021-09-01,"White-tailed Deer",45.75,"Bells Bend Park"
2021-10-01,"White-tailed Deer",60,"Bells Bend Park"
2021-11-01,"White-tailed Deer",70.3333333333333,"Bells Bend Park"
2021-12-01,"White-tailed Deer",32.8333333333333,"Bells Bend Park"
2022-01-01,"White-tailed Deer",52,"Bells Bend Park"
2022-02-01,"White-tailed Deer",11,"Bells Bend Park"
2022-03-01,"White-tailed Deer",25,"Bells Bend Park"
2022-04-01,"White-tailed Deer",40.8333333333333,"Bells Bend Park"
2021-07-01,"Eastern Chipmunk",1.7,"Bells Bend Park"
2021-08-01,"Eastern Chipmunk",0,"Bells Bend Park"
2021-09-01,"Eastern Chipmunk",0,"Bells Bend Park"
2021-10-01,"Eastern Chipmunk",0,"Bells Bend Park"
2021-11-01,"Eastern Chipmunk",0,"Bells Bend Park"
2021-12-01,"Eastern Chipmunk",0,"Bells Bend Park"
2022-01-01,"Eastern Chipmunk",0,"Bells Bend Park"
2022-02-01,"Eastern Chipmunk",0,"Bells Bend Park"
2022-03-01,"Eastern Chipmunk",0,"Bells Bend Park"
2022-04-01,"Eastern Chipmunk",0,"Bells Bend Park"
2021-07-01,"Virginia Opossum",3.25,"Bells Bend Park"
2021-08-01,"Virginia Opossum",15.75,"Bells Bend Park"
2021-09-01,"Virginia Opossum",3.83333333333333,"Bells Bend Park"
2021-10-01,"Virginia Opossum",1,"Bells Bend Park"
2021-11-01,"Virginia Opossum",0.666666666666667,"Bells Bend Park"
2021-12-01,"Virginia Opossum",2.16666666666667,"Bells Bend Park"
2022-01-01,"Virginia Opossum",0.5,"Bells Bend Park"
2022-02-01,"Virginia Opossum",0.5,"Bells Bend Park"
2022-03-01,"Virginia Opossum",1.5,"Bells Bend Park"
2022-04-01,"Virginia Opossum",1,"Bells Bend Park"
2021-07-01,"Northern Raccoon",0.4,"Bells Bend Park"
2021-08-01,"Northern Raccoon",0.75,"Bells Bend Park"
2021-09-01,"Northern Raccoon",4.66666666666667,"Bells Bend Park"
2021-10-01,"Northern Raccoon",16.3333333333333,"Bells Bend Park"
2021-11-01,"Northern Raccoon",3.33333333333333,"Bells Bend Park"
2021-12-01,"Northern Raccoon",11.1666666666667,"Bells Bend Park"
2022-01-01,"Northern Raccoon",1,"Bells Bend Park"
2022-02-01,"Northern Raccoon",2,"Bells Bend Park"
2022-03-01,"Northern Raccoon",7,"Bells Bend Park"
2022-04-01,"Northern Raccoon",15,"Bells Bend Park"
2021-07-01,"Bobcat",0.85,"Bells Bend Park"
2021-08-01,"Bobcat",0.75,"Bells Bend Park"
2021-09-01,"Bobcat",1.91666666666667,"Bells Bend Park"
2021-10-01,"Bobcat",0.666666666666667,"Bells Bend Park"
2021-11-01,"Bobcat",2.66666666666667,"Bells Bend Park"
2021-12-01,"Bobcat",10,"Bells Bend Park"
2022-01-01,"Bobcat",3.5,"Bells Bend Park"
2022-02-01,"Bobcat",4,"Bells Bend Park"
2022-03-01,"Bobcat",4,"Bells Bend Park"
2022-04-01,"Bobcat",5.5,"Bells Bend Park"
2021-07-01,"Coyote",0.2,"Bells Bend Park"
2021-08-01,"Coyote",1.25,"Bells Bend Park"
2021-09-01,"Coyote",1.41666666666667,"Bells Bend Park"
2021-10-01,"Coyote",1.33333333333333,"Bells Bend Park"
2021-11-01,"Coyote",3.33333333333333,"Bells Bend Park"
2021-12-01,"Coyote",2.5,"Bells Bend Park"
2022-01-01,"Coyote",8,"Bells Bend Park"
2022-02-01,"Coyote",2.5,"Bells Bend Park"
2022-03-01,"Coyote",0.5,"Bells Bend Park"
2022-04-01,"Coyote",1,"Bells Bend Park"
2021-07-01,"Eastern Cottontail",1.6,"Bells Bend Park"
2021-08-01,"Eastern Cottontail",8.25,"Bells Bend Park"
2021-09-01,"Eastern Cottontail",3.16666666666667,"Bells Bend Park"
2021-10-01,"Eastern Cottontail",0.333333333333333,"Bells Bend Park"
2021-11-01,"Eastern Cottontail",1.66666666666667,"Bells Bend Park"
2021-12-01,"Eastern Cottontail",7.16666666666667,"Bells Bend Park"
2022-01-01,"Eastern Cottontail",0,"Bells Bend Park"
2022-02-01,"Eastern Cottontail",0,"Bells Bend Park"
2022-03-01,"Eastern Cottontail",1.5,"Bells Bend Park"
2022-04-01,"Eastern Cottontail",2.33333333333333,"Bells Bend Park"
2021-07-01,"Eastern Gray Squirrel",2.1,"Bells Bend Park"
2021-08-01,"Eastern Gray Squirrel",3,"Bells Bend Park"
2021-09-01,"Eastern Gray Squirrel",5.08333333333333,"Bells Bend Park"
2021-10-01,"Eastern Gray Squirrel",7.33333333333333,"Bells Bend Park"
2021-11-01,"Eastern Gray Squirrel",14,"Bells Bend Park"
2021-12-01,"Eastern Gray Squirrel",5,"Bells Bend Park"
2022-01-01,"Eastern Gray Squirrel",0.5,"Bells Bend Park"
2022-02-01,"Eastern Gray Squirrel",1,"Bells Bend Park"
2022-03-01,"Eastern Gray Squirrel",7.5,"Bells Bend Park"
2022-04-01,"Eastern Gray Squirrel",6.33333333333333,"Bells Bend Park"
2021-07-01,"Weasel Family",0,"Bells Bend Park"
2021-08-01,"Weasel Family",0,"Bells Bend Park"
2021-09-01,"Weasel Family",0,"Bells Bend Park"
2021-10-01,"Weasel Family",0.333333333333333,"Bells Bend Park"
2021-11-01,"Weasel Family",0,"Bells Bend Park"
2021-12-01,"Weasel Family",0,"Bells Bend Park"
2022-01-01,"Weasel Family",0,"Bells Bend Park"
2022-02-01,"Weasel Family",0,"Bells Bend Park"
2022-03-01,"Weasel Family",0,"Bells Bend Park"
2022-04-01,"Weasel Family",0,"Bells Bend Park"
2021-07-01,"American Beaver",0,"Bells Bend Park"
2021-08-01,"American Beaver",0,"Bells Bend Park"
2021-09-01,"American Beaver",0,"Bells Bend Park"
2021-10-01,"American Beaver",0,"Bells Bend Park"
2021-11-01,"American Beaver",0,"Bells Bend Park"
2021-12-01,"American Beaver",0,"Bells Bend Park"
2022-01-01,"American Beaver",0,"Bells Bend Park"
2022-02-01,"American Beaver",0.5,"Bells Bend Park"
2022-03-01,"American Beaver",0.5,"Bells Bend Park"
2022-04-01,"American Beaver",0,"Bells Bend Park"
2021-07-01,"North American River Otter",0,"Bells Bend Park"
2021-08-01,"North American River Otter",0,"Bells Bend Park"
2021-09-01,"North American River Otter",0,"Bells Bend Park"
2021-10-01,"North American River Otter",0,"Bells Bend Park"
2021-11-01,"North American River Otter",0,"Bells Bend Park"
2021-12-01,"North American River Otter",0,"Bells Bend Park"
2022-01-01,"North American River Otter",0,"Bells Bend Park"
2022-02-01,"North American River Otter",0,"Bells Bend Park"
2022-03-01,"North American River Otter",0,"Bells Bend Park"
2022-04-01,"North American River Otter",0,"Bells Bend Park"
