"Month","Species","CountAdjusted","ParkName"
2021-07-01,"Northern Raccoon",11,"Mill Creek Park"
2021-08-01,"Northern Raccoon",14,"Mill Creek Park"
2021-09-01,"Northern Raccoon",20,"Mill Creek Park"
2021-10-01,"Northern Raccoon",23.6666666666667,"Mill Creek Park"
2021-11-01,"Northern Raccoon",38.75,"Mill Creek Park"
2021-12-01,"Northern Raccoon",8,"Mill Creek Park"
2022-01-01,"Northern Raccoon",1.66666666666667,"Mill Creek Park"
2022-02-01,"Northern Raccoon",1.33333333333333,"Mill Creek Park"
2022-03-01,"Northern Raccoon",0.666666666666667,"Mill Creek Park"
2022-04-01,"Northern Raccoon",0,"Mill Creek Park"
2021-07-01,"Eastern Gray Squirrel",1,"Mill Creek Park"
2021-08-01,"Eastern Gray Squirrel",8.5,"Mill Creek Park"
2021-09-01,"Eastern Gray Squirrel",17.6666666666667,"Mill Creek Park"
2021-10-01,"Eastern Gray Squirrel",78.6666666666667,"Mill Creek Park"
2021-11-01,"Eastern Gray Squirrel",45.6666666666667,"Mill Creek Park"
2021-12-01,"Eastern Gray Squirrel",20,"Mill Creek Park"
2022-01-01,"Eastern Gray Squirrel",107,"Mill Creek Park"
2022-02-01,"Eastern Gray Squirrel",81,"Mill Creek Park"
2022-03-01,"Eastern Gray Squirrel",92.8333333333333,"Mill Creek Park"
2022-04-01,"Eastern Gray Squirrel",54.5,"Mill Creek Park"
2021-07-01,"Eastern Chipmunk",0,"Mill Creek Park"
2021-08-01,"Eastern Chipmunk",0.5,"Mill Creek Park"
2021-09-01,"Eastern Chipmunk",0.333333333333333,"Mill Creek Park"
2021-10-01,"Eastern Chipmunk",2.33333333333333,"Mill Creek Park"
2021-11-01,"Eastern Chipmunk",0,"Mill Creek Park"
2021-12-01,"Eastern Chipmunk",0,"Mill Creek Park"
2022-01-01,"Eastern Chipmunk",0,"Mill Creek Park"
2022-02-01,"Eastern Chipmunk",0,"Mill Creek Park"
2022-03-01,"Eastern Chipmunk",0,"Mill Creek Park"
2022-04-01,"Eastern Chipmunk",1,"Mill Creek Park"
2021-07-01,"White-tailed Deer",0,"Mill Creek Park"
2021-08-01,"White-tailed Deer",0,"Mill Creek Park"
2021-09-01,"White-tailed Deer",4.33333333333333,"Mill Creek Park"
2021-10-01,"White-tailed Deer",8.33333333333333,"Mill Creek Park"
2021-11-01,"White-tailed Deer",19.25,"Mill Creek Park"
2021-12-01,"White-tailed Deer",1.16666666666667,"Mill Creek Park"
2022-01-01,"White-tailed Deer",2,"Mill Creek Park"
2022-02-01,"White-tailed Deer",0.333333333333333,"Mill Creek Park"
2022-03-01,"White-tailed Deer",12.5,"Mill Creek Park"
2022-04-01,"White-tailed Deer",1,"Mill Creek Park"
2021-07-01,"Coyote",0.5,"Mill Creek Park"
2021-08-01,"Coyote",0,"Mill Creek Park"
2021-09-01,"Coyote",1.66666666666667,"Mill Creek Park"
2021-10-01,"Coyote",4,"Mill Creek Park"
2021-11-01,"Coyote",3.25,"Mill Creek Park"
2021-12-01,"Coyote",0,"Mill Creek Park"
2022-01-01,"Coyote",0.333333333333333,"Mill Creek Park"
2022-02-01,"Coyote",0,"Mill Creek Park"
2022-03-01,"Coyote",0.333333333333333,"Mill Creek Park"
2022-04-01,"Coyote",0,"Mill Creek Park"
