"Month","Species","CountAdjusted","ParkName"
2021-07-01,"White-tailed Deer",4.25,"Alvin G. Beaman Park"
2021-08-01,"White-tailed Deer",8.25,"Alvin G. Beaman Park"
2021-09-01,"White-tailed Deer",2.41666666666667,"Alvin G. Beaman Park"
2021-10-01,"White-tailed Deer",11.5,"Alvin G. Beaman Park"
2021-11-01,"White-tailed Deer",22.3333333333333,"Alvin G. Beaman Park"
2021-12-01,"White-tailed Deer",13.8333333333333,"Alvin G. Beaman Park"
2022-01-01,"White-tailed Deer",8.83333333333333,"Alvin G. Beaman Park"
2022-02-01,"White-tailed Deer",1,"Alvin G. Beaman Park"
2022-03-01,"White-tailed Deer",2,"Alvin G. Beaman Park"
2022-04-01,"White-tailed Deer",29.5833333333333,"Alvin G. Beaman Park"
2021-07-01,"White-tailed Deer",6.05,"Bells Bend Park"
2021-08-01,"White-tailed Deer",26.5,"Bells Bend Park"
2021-09-01,"White-tailed Deer",45.75,"Bells Bend Park"
2021-10-01,"White-tailed Deer",60,"Bells Bend Park"
2021-11-01,"White-tailed Deer",70.3333333333333,"Bells Bend Park"
2021-12-01,"White-tailed Deer",32.8333333333333,"Bells Bend Park"
2022-01-01,"White-tailed Deer",52,"Bells Bend Park"
2022-02-01,"White-tailed Deer",11,"Bells Bend Park"
2022-03-01,"White-tailed Deer",25,"Bells Bend Park"
2022-04-01,"White-tailed Deer",40.8333333333333,"Bells Bend Park"
2021-07-01,"White-tailed Deer",0,"Mill Creek Park"
2021-08-01,"White-tailed Deer",0,"Mill Creek Park"
2021-09-01,"White-tailed Deer",4.33333333333333,"Mill Creek Park"
2021-10-01,"White-tailed Deer",8.33333333333333,"Mill Creek Park"
2021-11-01,"White-tailed Deer",19.25,"Mill Creek Park"
2021-12-01,"White-tailed Deer",1.16666666666667,"Mill Creek Park"
2022-01-01,"White-tailed Deer",2,"Mill Creek Park"
2022-02-01,"White-tailed Deer",0.333333333333333,"Mill Creek Park"
2022-03-01,"White-tailed Deer",12.5,"Mill Creek Park"
2022-04-01,"White-tailed Deer",1,"Mill Creek Park"
