"Month","Species","CountAdjusted","ParkName"
2021-07-01,"Eastern Gray Squirrel",0.75,"Alvin G. Beaman Park"
2021-08-01,"Eastern Gray Squirrel",1.25,"Alvin G. Beaman Park"
2021-09-01,"Eastern Gray Squirrel",5.16666666666667,"Alvin G. Beaman Park"
2021-10-01,"Eastern Gray Squirrel",6.41666666666667,"Alvin G. Beaman Park"
2021-11-01,"Eastern Gray Squirrel",11,"Alvin G. Beaman Park"
2021-12-01,"Eastern Gray Squirrel",10,"Alvin G. Beaman Park"
2022-01-01,"Eastern Gray Squirrel",9.66666666666667,"Alvin G. Beaman Park"
2022-02-01,"Eastern Gray Squirrel",6.5,"Alvin G. Beaman Park"
2022-03-01,"Eastern Gray Squirrel",4.25,"Alvin G. Beaman Park"
2022-04-01,"Eastern Gray Squirrel",4.75,"Alvin G. Beaman Park"
2021-07-01,"Eastern Gray Squirrel",2.1,"Bells Bend Park"
2021-08-01,"Eastern Gray Squirrel",3,"Bells Bend Park"
2021-09-01,"Eastern Gray Squirrel",5.08333333333333,"Bells Bend Park"
2021-10-01,"Eastern Gray Squirrel",7.33333333333333,"Bells Bend Park"
2021-11-01,"Eastern Gray Squirrel",14,"Bells Bend Park"
2021-12-01,"Eastern Gray Squirrel",5,"Bells Bend Park"
2022-01-01,"Eastern Gray Squirrel",0.5,"Bells Bend Park"
2022-02-01,"Eastern Gray Squirrel",1,"Bells Bend Park"
2022-03-01,"Eastern Gray Squirrel",7.5,"Bells Bend Park"
2022-04-01,"Eastern Gray Squirrel",6.33333333333333,"Bells Bend Park"
2021-07-01,"Eastern Gray Squirrel",1,"Mill Creek Park"
2021-08-01,"Eastern Gray Squirrel",8.5,"Mill Creek Park"
2021-09-01,"Eastern Gray Squirrel",17.6666666666667,"Mill Creek Park"
2021-10-01,"Eastern Gray Squirrel",78.6666666666667,"Mill Creek Park"
2021-11-01,"Eastern Gray Squirrel",45.6666666666667,"Mill Creek Park"
2021-12-01,"Eastern Gray Squirrel",20,"Mill Creek Park"
2022-01-01,"Eastern Gray Squirrel",107,"Mill Creek Park"
2022-02-01,"Eastern Gray Squirrel",81,"Mill Creek Park"
2022-03-01,"Eastern Gray Squirrel",92.8333333333333,"Mill Creek Park"
2022-04-01,"Eastern Gray Squirrel",54.5,"Mill Creek Park"
